Date,SPY,TLT
2023-03-30,389.54388427734375,93.60929870605469
2023-03-31,395.0343322753906,95.01165771484375
2023-04-03,396.5396423339844,95.45849609375
2023-04-04,394.3395690917969,95.93309020996094
2023-04-05,393.30712890625,96.9360580444336
2023-04-06,394.8414001464844,97.186767578125
2023-04-10,395.2466125488281,95.61968231201172
2023-04-11,395.35272216796875,95.81665802001953
2023-04-12,393.7413330078125,95.71818542480469
2023-04-13,398.9712829589844,94.96598052978516
2023-04-14,397.9967041015625,94.09735107421875
2023-04-17,399.4248352050781,92.97801208496094
2023-04-18,399.6853332519531,93.30933380126953
2023-04-19,399.6178283691406,93.21977996826172
2023-04-20,397.4370422363281,94.01676940917969
2023-04-21,397.74578857421875,93.48844146728516
2023-04-24,398.1607666015625,94.39287567138672
2023-04-25,391.8403625488281,95.78086853027344
2023-04-26,390.1806945800781,94.76002502441406
2023-04-27,397.94842529296875,93.81975555419922
2023-04-28,401.3450012207031,95.33314514160156
2023-05-01,400.9397277832031,92.584228515625
2023-05-02,396.4335021972656,94.89141845703125
2023-05-03,393.7123718261719,95.42110443115234
2023-05-04,390.9237365722656,94.47850036621094
2023-05-05,398.1607666015625,94.16426086425781
2023-05-08,398.2668762207031,92.84461975097656
2023-05-09,396.52032470703125,92.51242065429688
2023-05-10,398.3730163574219,93.41017150878906
2023-05-11,397.6782531738281,94.39766693115234
2023-05-12,397.1572265625,93.60768127441406
2023-05-15,398.52740478515625,92.63810729980469
2023-05-16,395.8642272949219,92.35980987548828
2023-05-17,400.6695556640625,92.09049224853516
2023-05-18,404.529296875,91.40819549560547
2023-05-19,403.940673828125,90.76181030273438
2023-05-22,404.104736328125,90.43865966796875
2023-05-23,399.569580078125,90.69898986816406
2023-05-24,396.6747131347656,90.25011444091797
2023-05-25,400.10986328125,90.02568054199219
2023-05-26,405.2916259765625,90.75284576416016
2023-05-30,405.44598388671875,91.65958404541016
2023-05-31,403.19775390625,92.45857238769531
2023-06-01,407.0284423828125,92.8212890625
2023-06-02,412.9145812988281,91.80415344238281
2023-06-05,412.12335205078125,91.63314819335938
2023-06-06,413.0207214355469,92.17323303222656
2023-06-07,411.59259033203125,90.80500030517578
2023-06-08,414.0821838378906,91.86717224121094
2023-06-09,414.8251037597656,91.74116516113281
2023-06-12,418.58837890625,92.01119995117188
2023-06-13,421.34808349609375,91.10205841064453
2023-06-14,421.849853515625,91.8311767578125
2023-06-15,427.0798034667969,92.71329498291016
2023-06-16,425.62506103515625,92.3532485961914
2023-06-20,423.4168701171875,92.9923095703125
2023-06-21,421.24737548828125,93.21735382080078
2023-06-22,422.76800537109375,92.09220123291016
2023-06-23,419.5718078613281,93.01033020019531
2023-06-26,417.85760498046875,93.10935974121094
2023-06-27,422.43865966796875,92.86634063720703
2023-06-28,422.6517333984375,93.26236724853516
2023-06-29,424.3175964355469,91.57913970947266
2023-06-30,429.3248291015625,92.65928649902344
2023-07-03,429.8187561035156,92.13397979736328
2023-07-05,429.1795349121094,91.2585220336914
2023-07-06,425.81884765625,89.96783447265625
2023-07-07,424.7437438964844,89.4262924194336
2023-07-10,425.81884765625,89.54362487792969
2023-07-11,428.5306091308594,90.00393676757812
2023-07-12,431.9785461425781,91.00578308105469
2023-07-13,435.4071044921875,91.96250915527344
2023-07-14,435.1358642578125,91.42095947265625
2023-07-17,436.6468505859375,91.46609497070312
2023-07-18,439.891357421875,91.88128662109375
2023-07-19,440.8695983886719,92.91922760009766
2023-07-20,437.9446105957031,91.79102325439453
2023-07-21,437.9446105957031,91.81810760498047
2023-07-24,439.90106201171875,91.48414611816406
2023-07-25,441.1020202636719,91.31266784667969
2023-07-26,441.1698303222656,91.40292358398438
2023-07-27,438.2449035644531,89.62487030029297
2023-07-28,442.53546142578125,90.08517456054688
2023-07-31,443.3780517578125,90.30178833007812
2023-08-01,442.1092529296875,88.82201385498047
2023-08-02,435.9591369628906,87.87171173095703
2023-08-03,434.70977783203125,85.8443832397461
2023-08-04,432.74371337890625,87.36488342285156
2023-08-07,436.5209045410156,86.50511169433594
2023-08-08,434.62261962890625,87.50969696044922
2023-08-09,431.71710205078125,87.96221923828125
2023-08-10,431.87200927734375,86.51412963867188
2023-08-11,431.6202392578125,86.31503295898438
2023-08-14,434.0027770996094,86.12496948242188
2023-08-15,428.94708251953125,85.60002136230469
2023-08-16,425.7994384765625,84.93029022216797
2023-08-17,422.554931640625,84.56825256347656
2023-08-18,422.75830078125,84.86693572998047
2023-08-21,425.50885009765625,83.73561096191406
2023-08-22,424.3563232421875,84.37821960449219
2023-08-23,429.08270263671875,86.46888732910156
2023-08-24,423.135986328125,85.89869689941406
2023-08-25,426.1189880371094,86.17925262451172
2023-08-28,428.8211975097656,86.26976013183594
2023-08-29,435.0197448730469,87.1657943725586
2023-08-30,436.8114929199219,87.07526397705078
2023-08-31,436.1722412109375,87.4644546508789
