Date,VOL_FXI,VOL_SPY,VOL_RATIO
2016-09-26,0.2005791908730887,0.11437881895617848,1.7536392900676465
2016-09-27,0.1930043109236349,0.11562143636223926,1.6692779210851256
2016-09-28,0.19396012954296493,0.11568264605629608,1.676657097284719
2016-09-29,0.19541126993547048,0.11843467713850807,1.649949783769319
2016-09-30,0.1939004059105048,0.12043293058348209,1.6100281291095568
2016-10-03,0.19314150266053418,0.1205498815393266,1.6021708208607923
2016-10-04,0.19278221007253993,0.12137007139079803,1.5883834281665932
2016-10-05,0.2048364919875865,0.12198588071382141,1.679181974085447
2016-10-06,0.20411207742263104,0.12115918037849305,1.6846604341907794
2016-10-07,0.20588850383610363,0.12153033446194099,1.694132619215169
2016-10-10,0.20851026675741424,0.12241829252353809,1.7032607011515273
2016-10-11,0.22693950917391598,0.12680417503427396,1.7896848357916952
2016-10-12,0.2263435852285033,0.12687407222684977,1.7840018946014666
2016-10-13,0.22903589863643062,0.12695060356196394,1.8041339876311762
2016-10-14,0.22970136642355712,0.12697479390895222,1.8090312207024757
2016-10-17,0.22335756616736072,0.12636557891708053,1.767550689685243
2016-10-18,0.22408778324130857,0.12754482122630026,1.756933610371479
2016-10-19,0.22413762162637996,0.12789424217431133,1.7525231614484669
2016-10-20,0.2220737596596933,0.12785029945715137,1.7369827102682747
2016-10-21,0.21438204996029248,0.10684167132756452,2.0065396515842706
2016-10-24,0.21549434549391805,0.09902781567828714,2.176099149697466
2016-10-25,0.20063966478960743,0.0898897881338203,2.232062940129663
2016-10-26,0.20302840395956526,0.09012530162694783,2.252734806924174
2016-10-27,0.19715814882414723,0.08562083740184505,2.3026888641467393
2016-10-28,0.19893477789581862,0.0853174376810686,2.3317012711923133
2016-10-31,0.19877822037741127,0.0853140601911209,2.329958507801733
2016-11-01,0.19973901975460087,0.08777211328063204,2.2756546730962173
2016-11-02,0.18788487663217737,0.08200248058425927,2.2912096718723247
2016-11-03,0.18716881181083675,0.07968400754512876,2.3488880338358276
2016-11-04,0.18314873795300957,0.07869357163000071,2.327365935481151
2016-11-07,0.19742800008804923,0.10095660149472181,1.9555729607079841
2016-11-08,0.19492013273015202,0.10014165565928902,1.9464440791085669
2016-11-09,0.2044485915981559,0.103933009731712,1.9671189367642705
2016-11-10,0.2041119581450663,0.10054948092901975,2.0299653092108327
2016-11-11,0.20580484662664336,0.09846797747589266,2.090068790912552
2016-11-14,0.2060059321297608,0.09821443317941146,2.0975117959846403
2016-11-15,0.2101958675539874,0.09934265252604482,2.115867275628462
2016-11-16,0.19767208606670222,0.09889771924164781,1.9987527273880605
2016-11-17,0.19775016529962766,0.09986198794693384,1.9802346154445785
2016-11-18,0.1970935984598128,0.09951247468371019,1.9805918713835007
2016-11-21,0.19349130923276064,0.10069038259614954,1.9216463801594479
2016-11-22,0.1838695656130889,0.09254522676696238,1.986807661902324
2016-11-23,0.1840672373952919,0.09255780152762333,1.9886733949742543
2016-11-25,0.18082579410953675,0.09190814588320796,1.9674621043854008
2016-11-28,0.1788652808104661,0.0935320685838453,1.9123417616934797
2016-11-29,0.17780630851107396,0.09251868254385746,1.9218422011877097
2016-11-30,0.17145497741203006,0.09190927431285635,1.8654807003306606
2016-12-01,0.17141597199165168,0.09276852640915915,1.8477815550892223
2016-12-02,0.1726742873279367,0.09242361025560465,1.8682919532183668
2016-12-05,0.17269465008209406,0.09358199964888127,1.8453832011502498
2016-12-06,0.1710959521936175,0.0933161634905698,1.8335082133001306
2016-12-07,0.1744442112506803,0.09857542289547287,1.769652172181467
2016-12-08,0.17194244446064655,0.09800082760307251,1.754499922766528
2016-12-09,0.17082347279744794,0.0978371752580844,1.7459975959734446
2016-12-12,0.18087352743832213,0.09717261898373761,1.8613631013546352
