Date,FXI_MCHI,FXI_KWEB,MCHI_KWEB,SYNC_INDEX
2016-10-17,0.9737508762606416,0.7434603220291823,0.8412403180673735,0.8528171721190659
2016-10-18,0.9727892105017263,0.7322025590290545,0.8339741814984332,0.8463219836764045
2016-10-19,0.9719310923046341,0.7298793575856608,0.8335369025373709,0.8451157841425552
2016-10-20,0.9717537194026934,0.730149205888298,0.8340302739600446,0.845311066417012
2016-10-21,0.9718913909238895,0.7304376947901361,0.8347018737184778,0.8456769864775011
2016-10-24,0.9716784996178882,0.7304181752159058,0.8351330381177027,0.845743237650499
2016-10-25,0.9721915196174734,0.7309204962981132,0.8341979858532057,0.8457700005895975
2016-10-26,0.972030045401068,0.7286011670118483,0.832960346491888,0.8445305196349348
2016-10-27,0.9721706774474559,0.733534983062209,0.8366409702663771,0.8474488769253473
2016-10-28,0.9727347104762573,0.7380527185240843,0.8388600009775748,0.8498824766593055
2016-10-31,0.9718203302233753,0.7266059006541759,0.8303604870951496,0.8429289059909003
2016-11-01,0.962657684190569,0.7162286656505574,0.8366163978729787,0.8385009159047017
2016-11-02,0.9642979911115643,0.7370692223898003,0.849056464084643,0.8501412258620026
2016-11-03,0.9627916742021765,0.7268909606247791,0.8429481910226748,0.8442102752832102
2016-11-04,0.9621962662120788,0.7235785183013844,0.8414396846406915,0.8424048230513849
2016-11-07,0.9644137341789657,0.7373038128863916,0.8491051219063672,0.8502742229905748
2016-11-08,0.9643163022073992,0.7344198857140418,0.8470635046215597,0.8485998975143335
2016-11-09,0.9646029423018587,0.7270359814711682,0.8377137968905232,0.8431175735545167
2016-11-10,0.9639408515491859,0.7214985457121129,0.8368475590927342,0.8407623187846776
2016-11-11,0.9645455956928168,0.7315836142194108,0.8438789965651631,0.8466694021591302
2016-11-14,0.9620245401683335,0.7222793323799218,0.8436508572057528,0.8426515765846694
2016-11-15,0.9626712982110659,0.7292258445330518,0.8478339707396902,0.8465770378279359
2016-11-16,0.9633326472588414,0.7199262093867542,0.8381210899955344,0.84045998221371
2016-11-17,0.9630213982129586,0.7202237887942751,0.8379286516068096,0.8403912795380144
2016-11-18,0.9625270559556955,0.7170451351322511,0.8361530812523864,0.838575090780111
2016-11-21,0.9625528179203185,0.7179089829662888,0.837169580779828,0.8392104605554785
2016-11-22,0.9607726229348172,0.7088713164668777,0.8341459084986366,0.8345966159667771
2016-11-23,0.9601183085105282,0.7138520200398553,0.8369994556693479,0.8369899280732437
2016-11-25,0.9598190440560941,0.7096287282263707,0.8342283195349406,0.8345586972724685
2016-11-28,0.9598783510465535,0.709891325659767,0.8343011244859981,0.8346902670641061
2016-11-29,0.9599153650010406,0.7105000400845458,0.8349737900721007,0.835129731719229
2016-11-30,0.9588351314022187,0.7075713562147454,0.8353183513375759,0.8339082796515133
2016-12-01,0.9554117470602225,0.6882314912843368,0.8287771040854757,0.824140114143345
2016-12-02,0.955683912049071,0.6895872806081361,0.8295151436582482,0.8249287787718185
2016-12-05,0.955499407668275,0.6871507057980331,0.828230132847368,0.8236267487712254
2016-12-06,0.9559886376664373,0.6868537692790521,0.8267274756475989,0.8231899608643628
2016-12-07,0.9570054875331307,0.690049402574973,0.827263600867725,0.8247728303252764
2016-12-08,0.9570300335173841,0.688652392901032,0.825666385510973,0.8237829373097963
2016-12-09,0.9572631099974785,0.6874021972422192,0.8239708022718149,0.8228787031705043
2016-12-12,0.9587363927636983,0.6976985442454267,0.8292182107414342,0.8285510492501863
