Date,STRESS_INDEX,Z_VOL_RATIO,Z_VOL_FXI_30D
2024-09-19,-0.55880465703456,-0.690116533127881,-0.42749278094123877
2024-09-20,-0.5692733264395932,-0.6234282553874002,-0.5151183974917861
2024-09-23,-0.5159568799001997,-0.5689913024238491,-0.46292245737655013
2024-09-24,0.7492323858747827,0.703384282641644,0.7950804891079214
2024-09-25,0.9479207868711488,0.9783691933710804,0.9174723803712173
2024-09-26,1.4502453002576907,1.4930166533350266,1.4074739471803548
2024-09-27,1.5618467315927576,1.7317304505269553,1.3919630126585598
2024-09-30,1.5783882334084542,1.7455043062008901,1.4112721606160186
2024-10-01,1.6819372983082281,1.8406738577964912,1.523200738819965
2024-10-02,1.9639858103674186,2.1410334934084743,1.7869381273263631
2024-10-03,2.095274976190285,2.2804820631340275,1.9100678892465421
2024-10-04,2.126962387726571,2.3186295673268997,1.9352952081262424
2024-10-07,2.1487324600325683,2.3415534455442217,1.9559114745209147
2024-10-08,2.9129932580348834,3.0984266513413354,2.7275598647284314
2024-10-09,2.92985720828676,3.0907421293746005,2.7689722871989195
2024-10-10,2.9186606916211666,3.107362544319244,2.7299588389230887
2024-10-11,2.904214705867628,3.0774188422446125,2.731010569490644
2024-10-14,2.973174751105068,3.1642660611210056,2.78208344108913
2024-10-15,3.5496559820431166,4.131373358894529,2.9679386051917036
2024-10-16,3.5644198760308745,4.157092249665915,2.9717475023958344
2024-10-17,3.6512929634494675,4.270213479331982,3.032372447566953
2024-10-18,4.259435891047743,5.432774630175352,3.0860971519201343
2024-10-21,4.4055910475154265,5.697740299974204,3.113441795056649
2024-10-22,4.3900232611026215,5.673933589332528,3.1061129328727146
2024-10-23,4.301964890352192,5.491049948163517,3.112879832540867
2024-10-24,4.4072865092125735,5.693576917304721,3.1209961011204252
2024-10-25,4.44035551541945,5.7557493225117655,3.124961708327134
2024-10-28,4.4400912699129425,5.749322227382119,3.1308603124437653
2024-10-29,4.456651799192193,5.769877841303437,3.1434257570809496
2024-10-30,4.4747655064524,5.79076444383256,3.1587665690722386
2024-10-31,4.153840288462609,5.201721098343298,3.10595947858192
2024-11-01,4.128889465435273,5.153254248382022,3.1045246824885226
2024-11-04,4.114514893145274,5.137379326224907,3.0916504600656407
2024-11-05,3.216588229848483,3.9379509415048624,2.4952255181921044
2024-11-06,2.6839516848681484,2.8643174648845853,2.503585904851711
2024-11-07,2.400435690575836,2.545269400089698,2.255601981061974
2024-11-08,2.677535018856748,2.834332895955054,2.520737141758442
2024-11-11,2.670262574004568,2.830784192632331,2.509740955376805
2024-11-12,2.693012878857002,2.9164298700140407,2.4695958876999633
2024-11-13,2.2174481643652584,2.41457500579241,2.0203213229381074
2024-11-14,2.1387715780947185,2.298544818364398,1.978998337825039
2024-11-15,1.9303162864337922,2.005046136431956,1.8555864364356285
2024-11-18,1.9400215807347407,2.066598443768689,1.8134447177007926
2024-11-19,1.2169398253097967,1.34361919098011,1.0902604596394834
2024-11-20,1.2206941283292498,1.3657928492910982,1.0755954073674014
2024-11-21,1.188144440530511,1.3249487658126513,1.0513401152483706
2024-11-22,1.2312695469052712,1.3809752799513757,1.0815638138591668
2024-11-25,1.2316562250231353,1.4060299686690239,1.057282481377247
2024-11-26,0.995811632726116,1.1846740411095051,0.8069492243427268
2024-11-27,1.044664102708677,1.2338228148462367,0.8555053905711173
2024-11-29,0.9573710638389539,1.12746384090047,0.7872782867774377
2024-12-02,0.7160883331259997,0.8729621228266804,0.5592145434253192
2024-12-03,0.7050090980544813,0.8644753558771802,0.5455428402317825
2024-12-04,0.6877073147999888,0.8363152348722043,0.5390993947277735
2024-12-05,0.7434433942963915,0.9452914340834,0.541595354509383
2024-12-06,0.7681554346330836,0.9721480901149736,0.5641627791511935
2024-12-09,1.5407908657963247,1.7834748375803757,1.2981068940122737
2024-12-10,1.7274435783448676,1.973674366730706,1.4812127899590293
2024-12-11,1.704528495437384,1.9243201620243264,1.4847368288504417
2024-12-12,1.6729912696845612,1.8766218754047754,1.469360663964347
2024-12-13,2.04751974670451,2.610851668011719,1.4841878253973007
2024-12-16,2.07295125300607,2.6396280280083637,1.5062744780037762
2024-12-17,2.0840737311791853,2.634847093934211,1.5333003684241597
2024-12-18,1.4858424909451717,1.4645084891119171,1.5071764927784264
2024-12-19,1.7703784316015256,2.102726314677412,1.4380305485256393
2024-12-20,1.3697020559488453,1.613127149835962,1.1262769620617286
2024-12-23,0.9852444942823815,1.1888739901502292,0.7816149984145337
2024-12-24,0.9404108589036846,1.0809745939080493,0.7998471238993199
2024-12-26,0.7672159943509108,0.9028026565656821,0.6316293321361395
2024-12-27,0.7257674972776549,0.8084420396876845,0.6430929548676253
2024-12-30,0.6912631286771367,0.7361449483706808,0.6463813089835926
2024-12-31,0.7549678173327294,0.8662793711433338,0.6436562635221252
2025-01-02,0.7595607075823508,0.8755978408828626,0.643523574281839
2025-01-03,0.7153493280225314,0.7690433712195831,0.6616552848254798
2025-01-06,0.7235293364192261,0.7655302517473582,0.6815284210910941
2025-01-07,0.6961765908854871,0.6968762575599006,0.6954769242110735
2025-01-08,0.6423786165750388,0.6450033307966211,0.6397539023534565
2025-01-10,0.6705254207080106,0.600499298719091,0.7405515426969301
2025-01-13,0.6806693416696012,0.6215132251559314,0.739825458183271
2025-01-14,0.652463455729476,0.5931703210513865,0.7117565904075653
2025-01-15,0.5769503101963166,0.42025924040701845,0.7336413799856147
2025-01-16,0.5774023349246001,0.4215537873814084,0.7332508824677918
2025-01-17,0.5862080362375263,0.3986400225408047,0.7737760499342479
2025-01-21,0.5779695499803083,0.37767682932354585,0.7782622706370707
2025-01-22,0.5773861583448526,0.3691451644097867,0.7856271522799185
